video_id,video_title,stream_date,video_url,published_at,duration_seconds,view_count,like_count,comment_sample_count,is_singing_stream,is_member_only,is_upcoming,status,entry_count,song_count,category_count,selected_comment_id,selected_comment_author,selected_comment_is_pinned,selected_comment_timestamp_count,issue,scraped_at
mPw-_y8DAic,【歌回】熱門爆紅歌曲🚀 夢回當年！那些霸榜的現象級神曲🌸【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-06-03,https://www.youtube.com/watch?v=mPw-_y8DAic,2026-06-03T17:15:04+00:00,,,89,3,true,false,false,ok,8,8,0,Ugys-gO4jdAU9NO_Xx14AaABAg,@MOMO-no3rc,true,8,,2026-06-04T11:38:57.495Z
4xq0tLOhQeg,【歌回】週末深夜歌回🌸一起放鬆迎接六月吧～初見大歓迎🎤【伴睡歌回 140｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-31,https://www.youtube.com/watch?v=4xq0tLOhQeg,2026-05-31T17:29:47+00:00,8168,570,84,2,true,false,false,ok,8,7,1,UgybJKguNxjFEgCLHtZ4AaABAg,@MOMO-no3rc,true,8,,2026-06-01T12:01:29.373Z
o9MBnoohmuo,【歌回】週末深夜歌回🌸留在這裡吧，我唱抒情歌哄你入睡 🌙✨【伴睡歌回 139｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-24,https://www.youtube.com/watch?v=o9MBnoohmuo,2026-05-24T10:27:10-07:00,8012,439,104,1,true,false,false,ok,8,8,0,UgzlzIXjRi75dpLFJSB4AaABAg,@MOMO-no3rc,false,8,,2026-05-27T04:50:28.595Z
tPkceeCiRtI,【歌回】無名小站歌回🌸時代的眼淚！你當年的網誌背景音樂是哪一首？【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-20,https://www.youtube.com/watch?v=tPkceeCiRtI,2026-05-20T10:23:25-07:00,11170,552,107,2,true,false,false,ok,8,8,0,UgwZvxg2KO5cuvjwgIR4AaABAg,@MOMO-no3rc,true,8,,2026-05-27T04:50:28.595Z
YosE9v1P3PM,【歌回】週末深夜歌回🌸這週辛苦了！陪你度過一個放鬆的夜晚【伴睡歌回 138｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-17,https://www.youtube.com/watch?v=YosE9v1P3PM,2026-05-17T10:24:41-07:00,7974,481,92,1,true,false,false,ok,10,8,2,UgyWBe47T8ipChC6z214AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
4WsKrnl3awo,【歌回】食字路口歌回🌸吃貨主題限定歌回🍔【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-13,https://www.youtube.com/watch?v=4WsKrnl3awo,2026-05-13T09:58:47-07:00,10054,612,99,2,true,false,false,ok,6,6,0,UgyY4qk2rQWgqfZQuEx4AaABAg,@MOMO-no3rc,true,6,,2026-05-27T04:50:28.595Z
bh_bamrM9IM,【歌回】週末深夜歌回🌸願這些歌，能讓你感受到情緒被接住著🎵【伴睡歌回 137｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-10,https://www.youtube.com/watch?v=bh_bamrM9IM,2026-05-10T10:29:49-07:00,8274,575,99,1,true,false,false,ok,7,7,0,UgwApJkm8m6wrmtoYU94AaABAg,@MOMO-no3rc,true,7,,2026-05-27T04:50:28.595Z
3dFUqlQegd0,【歌回】那些年我們聽錯的歌詞🌸一場酷酷的歌回！你還記得原唱嗎？【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-06,https://www.youtube.com/watch?v=3dFUqlQegd0,2026-05-06T10:14:51-07:00,10940,402,74,1,true,false,false,ok,8,8,0,Ugz4leXgkv8YZvkmHyJ4AaABAg,@MOMO-no3rc,true,8,,2026-05-27T04:50:28.595Z
4kR8evF0qBg,【歌回】週末深夜歌回🌸收心啦～希望你能有個好眠zZZ【伴睡歌回 136｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-05-03,https://www.youtube.com/watch?v=4kR8evF0qBg,2026-05-03T23:46:05-07:00,6682,310,81,5,true,false,false,ok,4,4,0,UgykUgRnDnY12My6LNh4AaABAg,@MOMO-no3rc,true,4,,2026-05-27T04:50:28.595Z
M9xf1_qyfwo,【歌回】鋼琴歌回🌸邊聽著歌聲，邊享受悠悠琴聲吧~【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-29,https://www.youtube.com/watch?v=M9xf1_qyfwo,2026-04-29T10:26:58-07:00,11616,457,83,1,true,false,false,ok,11,9,2,UgxfzJWWBzUZp4RpRAN4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
9UvQODMX__Y,【歌回】週末深夜歌回🌸夜深人靜的時候，希望我的歌聲可以陪伴你~【伴睡歌回 135｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-26,https://www.youtube.com/watch?v=9UvQODMX__Y,2026-04-26T10:24:47-07:00,7839,442,87,1,true,false,false,ok,8,7,1,UgxfZDqAfrzdm7TScZB4AaABAg,@MOMO-no3rc,false,8,,2026-05-27T04:50:28.595Z
NE1eJ1zMd_k,【歌回】多語言歌回🌸伴隨放鬆的心情 唱唱歌🎤【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-15,https://www.youtube.com/watch?v=NE1eJ1zMd_k,2026-04-15T10:25:22-07:00,11394,460,81,1,true,false,false,ok,11,9,2,UgyS3s7IP8wr5xN2p8p4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
51ycxYAuS2E,【歌回】週末深夜歌回🌸給還沒睡的你，希望歌聲能伴你好眠🎵 【伴睡歌回 134｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-12,https://www.youtube.com/watch?v=51ycxYAuS2E,2026-04-12T10:35:39-07:00,8674,464,112,1,true,false,false,ok,7,7,0,UgwcU96mktD9EwSfecB4AaABAg,@MOMO-no3rc,true,7,,2026-05-27T04:50:28.595Z
OoAaaBtMUBQ,【歌回】復仇歌回🔥今天...能成功雪恥不PON嗎？🌸【Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-08,https://www.youtube.com/watch?v=OoAaaBtMUBQ,2026-04-08T10:50:29-07:00,12705,466,101,2,true,false,false,ok,11,9,2,UgzfAWx4eJah7NjrL5F4AaABAg,@MOMO-no3rc,true,11,,2026-05-27T04:50:28.595Z
v8mAgyurifQ,【歌回】週末深夜歌回🌸連假一眨眼就過了，陪伴你放鬆入睡zzZ【伴睡歌回 133｜Vtuber｜Singing Stream】 #ACGlive #綾音Ring,2026-04-05,https://www.youtube.com/watch?v=v8mAgyurifQ,2026-04-05T10:58:35-07:00,9846,440,113,2,true,false,false,ok,10,7,3,UgxGuMc-5Da5-4WJAUF4AaABAg,@MOMO-no3rc,true,10,,2026-05-27T04:50:28.595Z
